"birdID","ch","tag"
"3765","111111111","no"
"4410","111111111","yes"
"5365","111111111","no"
"5383","111111111","no"
"5650","111111111","no"
"6012","111111111","no"
"6487","111111111","no"
"2371","111111110","no"
"3016","111111100","no"
"5356","111111100","no"
"1981","111100000","no"
"2674","111100000","no"
"3186","111100000","no"
"3355","111100000","no"
"3955","111100000","no"
"4813","111100000","no"
"2003","111011111","no"
"4722","111011111","no"
"5003","111011111","no"
"5123","111011111","no"
"3093","111010011","no"
"6025","111000000","no"
"6317","110111110","no"
"5407","110101111","no"
"3038","110100111","no"
"2965","110000000","no"
"5075","110000000","no"
"6477","101111111","no"
"2545","101111101","no"
"10779","101110101","no"
"5865","101110000","no"
"6233","100111111","yes"
"3034","100110111","no"
"5141","100110000","no"
"4027","100101111","no"
"4656","100101100","no"
"5550","100011000","no"
"11663","100000000","no"
"2033","100000000","no"
"2234","100000000","no"
"2501","100000000","yes"
"3588","100000000","no"
"3960","100000000","yes"
"4012","100000000","no"
"4370","100000000","no"
"4677","100000000","no"
"4721","100000000","yes"
"4824","100000000","yes"
"5040","100000000","yes"
"5069","100000000","no"
"5744","100000000","no"
"5770","100000000","no"
"6633","100000000","no"
"5049","011111111","yes"
"5107","011111111","no"
"8646","011110000","yes"
"3459","010010011","no"
"5205","010000000","no"
"5397","010000000","yes"
"8651","010000000","yes"
"957","010000000","yes"
"2662","001111111","no"
"5001","001111111","yes"
"15069","001111100","yes"
"5866","001111100","no"
"2220","001101000","yes"
"15067","001000000","yes"
"15068","001000000","yes"
"3243","001000000","no"
"3499","000111111","no"
"3965","000111111","no"
"7590","000111111","no"
"5892","000111110","no"
"6514","000111000","no"
"8206","000111000","no"
"7591","000110110","no"
"5370","000110000","no"
"5427","000110000","no"
"4445","000101111","yes"
"6016","000100111","no"
"1463","000100000","yes"
"2611","000100000","no"
"6644","000100000","no"
"6889","000100000","no"
"16615","000011111","yes"
"16617","000011111","yes"
"2410","000011111","no"
"3297","000011111","no"
"3859","000011111","no"
"3961","000011111","no"
"4154","000011111","no"
"4362","000011111","no"
"4456","000011111","no"
"5126","000011111","yes"
"5355","000011111","no"
"5481","000011111","no"
"5488","000011111","no"
"5847","000011111","no"
"5880","000011111","no"
"6224","000011111","no"
"6295","000011111","no"
"6375","000011111","no"
"6390","000011111","no"
"6540","000011111","no"
"6617","000011111","no"
"6622","000011111","no"
"6878","000011111","no"
"6918","000011111","no"
"6931","000011111","no"
"6946","000011111","no"
"6952","000011111","yes"
"7807","000011111","no"
"7854","000011111","no"
"8197","000011111","no"
"8420","000011111","no"
"8443","000011111","yes"
"16616","000011110","yes"
"2707","000011110","no"
"4412","000011110","no"
"6026","000011101","no"
"3102","000011100","no"
"3655","000011100","no"
"5636","000011100","no"
"6929","000011100","no"
"8191","000011100","no"
"25888","000011000","no"
"3027","000011000","no"
"3468","000011000","no"
"5085","000011000","no"
"5645","000011000","no"
"4009","000010111","no"
"4714","000010111","yes"
"5223","000010111","no"
"5643","000010111","no"
"5890","000010111","no"
"6331","000010110","no"
"3485","000010001","no"
"1836","000010000","no"
"2882","000010000","no"
"3170","000010000","no"
"4379","000010000","no"
"4383","000010000","no"
"6230","000010000","no"
"6479","000010000","no"
"6535","000010000","yes"
"8665","000010000","no"
"15457","000001111","no"
"15462","000001111","no"
"15481","000001111","no"
"2661","000001111","no"
"2862","000001111","no"
"4587","000001111","yes"
"4751","000001111","no"
"4799","000001111","no"
"4804","000001111","no"
"4818","000001111","no"
"6182","000001111","no"
"6207","000001111","no"
"6340","000001111","no"
"6480","000001111","no"
"6520","000001111","no"
"6543","000001111","no"
"6613","000001111","no"
"6899","000001111","no"
"7036","000001111","no"
"7041","000001111","no"
"7543","000001111","no"
"7598","000001111","no"
"8439","000001111","no"
"8794","000001111","no"
"14981","000001110","no"
"3484","000001110","no"
"4807","000001110","no"
"5387","000001110","no"
"7843","000001110","no"
"8194","000001110","no"
"8801","000001110","no"
"10151","000001101","no"
"22913","000001101","yes"
"5087","000001101","no"
"8427","000001101","no"
"4668","000001100","no"
"7121","000001100","no"
"7605","000001100","no"
"2975","000001011","no"
"5016","000001011","no"
"6887","000001011","no"
"7037","000001011","no"
"3832","000001010","no"
"5079","000001010","yes"
"8199","000001010","no"
"5057","000001001","no"
"14997","000001000","no"
"1782","000001000","no"
"2810","000001000","no"
"4368","000001000","no"
"4555","000001000","no"
"5458","000001000","no"
"5479","000001000","no"
"5835","000001000","no"
"6547","000001000","no"
"14937","000000111","no"
"14963","000000111","no"
"15316","000000111","no"
"15416","000000111","no"
"15491","000000111","no"
"3580","000000111","no"
"3597","000000111","no"
"3819","000000111","no"
"3863","000000111","no"
"4373","000000111","no"
"6534","000000111","no"
"6947","000000111","no"
"7580","000000111","no"
"8764","000000111","no"
"8771","000000111","no"
"3103","000000110","no"
"3600","000000110","no"
"5225","000000110","yes"
"6388","000000110","no"
"7608","000000110","no"
"7717","000000110","no"
"5045","000000101","no"
"1603","000000100","no"
"16129","000000100","no"
"4522","000000100","no"
"6508","000000100","no"
